,a,sigma
0,0.08874210233366128,0.015554340158737617
1,0.07119766017276152,0.006833689934026795
2,0.07490005361099064,0.00652617551506699
3,0.04591470530120213,0.010778933254482755
4,0.05044602289530853,0.02095680961477553
5,0.08088902429391862,0.018272351628176108
6,0.021917014436712852,0.018652939316901374
7,0.03631603784830171,0.01474782299787134
8,0.07069313697553661,0.01416685043103188
9,0.06755123282077016,0.0076274240283613895
10,0.031105232966426265,0.014538435665581889
11,0.07532886305065314,0.018752865682855877
12,0.07460619133443118,0.010154392897843405
13,0.04023012581533665,0.015238750774084776
14,0.062284911592887154,0.010031364517730835
15,0.05215163773392875,0.012876874661237664
16,0.060929914727757155,0.021105070693438782
17,0.057748141847507484,0.012774473944751029
18,0.018770757537328125,0.01940924269116308
19,0.04786260440621436,0.005571378156199527
20,0.05048742522121901,0.021120600617554983
21,0.05321575294745346,0.004807796545245191
22,0.04248386336810997,0.01708574540179334
23,0.06786673354825085,0.014951665067176802
24,0.07589538560970373,0.01399075317725504
25,0.03653647540081,0.021118944522779043
26,0.057945013279747236,0.0201318202119473
27,0.0802148638160928,0.006907344858176055
28,0.083631452235873,0.008516261290632744
29,0.041625635459445615,0.012662842363331293
30,0.03233374812615866,0.006204532591169624
31,0.04547227545976071,0.01679182045148083
32,0.08414648300917452,0.011564396414794512
33,0.08977834085435202,0.006333386051144445
34,0.07286884299225116,0.013154151752465459
35,0.06116431375385961,0.019768868454497907
36,0.030031156683967858,0.012352145785714586
37,0.07262566034940082,0.011652791548122057
38,0.0405293599201549,0.010781705646662323
39,0.028737741952476623,0.01049733241180368
40,0.027031927808476883,0.008174971528862193
41,0.04978228404133498,0.016883244849997446
42,0.05788553442617606,0.012975850128861124
43,0.03644572625553226,0.006792682756281922
44,0.021017421281590794,0.011468779442993682
45,0.08156480164760561,0.014238036970751598
46,0.06813600942029835,0.01732120075643798
47,0.020668396628753895,0.013549568898971945
48,0.03401929848058406,0.018836846237942916
49,0.028156598980171386,0.009297686299298981
50,0.07130094048524425,0.019846889221797677
51,0.0292343334271289,0.01859644049280285
52,0.06680729260225764,0.012650144258020865
53,0.04023392019894845,0.016059084333171866
54,0.04659674151233954,0.015372237902597195
55,0.056732959831758065,0.010354490968490967
56,0.04268769982253062,0.009575522877457133
57,0.046519644394179244,0.014593710363171926
58,0.05405355973816088,0.013680505570009613
59,0.057330228143007776,0.019897574974398972
60,0.048638856007663794,0.007522870762815903
61,0.08859563555572707,0.012196027730795544
62,0.05052581228399192,0.004773067976452825
63,0.03314099143638699,0.009363414724306802
64,0.057697352340261285,0.011256726201884353
65,0.08819669394856655,0.010974812961415746
66,0.06791423209573491,0.018359953934442542
67,0.0866318454133455,0.014632189764226616
68,0.025827364219171582,0.010520149766167174
69,0.03537964370877479,0.01862108489261064
70,0.06630734124419595,0.014248717471094565
71,0.03966164979115173,0.016049331790921804
72,0.04552720475137845,0.01440755337865621
73,0.05139633725057068,0.005149668711154836
74,0.05715634724530449,0.019381212843737755
75,0.05773465910087081,0.012586185430357284
76,0.022161084815256707,0.006475319545987112
77,0.08782927603520453,0.014706347105386987
78,0.06570680464896632,0.014981145905905812
79,0.04133364570405341,0.02042623072302497
80,0.04643180759209756,0.004943395465253753
81,0.060456511108474414,0.02063760095906826
82,0.06648756501915346,0.01706506146381405
83,0.06225859979520682,0.010837905189898293
84,0.03295702573205203,0.006089105285654957
85,0.06490791427829448,0.018599083204122714
86,0.019441270425519117,0.01607992408314374
87,0.06603903052130025,0.007472883769545511
88,0.055545270327619425,0.012122164199556095
89,0.08066150846646096,0.019893936045447057
90,0.07819930077955413,0.013629862647530683
91,0.07217872514338884,0.00462906518506415
92,0.02073075017238671,0.014562932609513468
93,0.01941471817131581,0.018028617057600158
94,0.05729884376702342,0.0042979157905291936
95,0.07966578999916968,0.007661043797054159
96,0.067162670455643,0.012695886930327069
97,0.024861023681468516,0.015079879507074203
98,0.02607324644447312,0.012534074267586997
99,0.05353812778597518,0.016926079678017333
100,0.042384035861123506,0.019598911851487454
101,0.07144810377129962,0.020953682141237287
102,0.04382734296884298,0.02093095090963059
103,0.0765314369723848,0.016076596057904582
104,0.031113365827426735,0.014476103752745028
105,0.07134445861449226,0.0180107040623171
106,0.05864009310566327,0.020174129405274258
107,0.032992424602072676,0.012467770798261444
108,0.07937797913334574,0.015277929948823751
109,0.020982424253499925,0.013254652646602924
110,0.0847138381239107,0.008589007443881354
111,0.02578388380055142,0.008547516236022956
112,0.03218976509926729,0.013443196798779068
113,0.0628845833285524,0.011504800901311646
114,0.05120017795659227,0.019494394439702502
115,0.018578642972024374,0.012425798142434712
116,0.045037805742757085,0.019218377828308073
117,0.045307028294173185,0.01643282710068937
118,0.03160141711929241,0.020194341875612164
119,0.07367571321331506,0.015480480607930858
120,0.02334742808516368,0.01914080158378781
121,0.032911262305836145,0.019072030732209203
122,0.0832611333885963,0.008327009335934497
123,0.08666362623089743,0.013668268023629164
124,0.04290605315742051,0.010866861848364186
125,0.05335473887918537,0.011973635945483063
126,0.08983747051292336,0.013470422479443718
127,0.07700383406490716,0.013294544809494362
128,0.06473712894464653,0.02054410236432254
129,0.08486085125234892,0.012605585489344982
130,0.07995508831489875,0.012101714425863703
131,0.036360091206150864,0.004648987840409914
132,0.058014116981234536,0.0116561945238025
133,0.08741415801552609,0.006228062997651127
134,0.08829475895655381,0.013922150545340255
135,0.08360669666075773,0.006357462025689059
136,0.054519336378737106,0.0048104892324233
137,0.060673159153266175,0.006234064179478317
138,0.03986397375165543,0.007165130828653764
139,0.04734676972625905,0.010495593393840298
140,0.0869174884129881,0.005946449317569932
141,0.018302735459991497,0.0057296609936588255
142,0.05741883741562984,0.016457730478326126
143,0.026305005845238684,0.020249245550027585
144,0.021686174844638306,0.021056126951048235
145,0.07691020741788715,0.014143369303291763
146,0.05576631604113194,0.01714160161053569
147,0.04732303225074122,0.00820068481390034
148,0.07593714941427908,0.020124007366740596
149,0.07090941864278462,0.02020391978175287
150,0.05702396960473027,0.01771791544436791
151,0.05080352762504479,0.020970359910833347
152,0.08156656249178777,0.01427590899593708
153,0.07370477582490631,0.006361373705806733
154,0.03550142090123336,0.015343090845568556
155,0.026330986895275292,0.012889149471983625
156,0.07227024397917657,0.016773177769903745
157,0.08805986883595221,0.005921346070239499
158,0.022693153284747705,0.008080966873953769
159,0.044683212779350126,0.019475750987681513
160,0.087489057591308,0.014031720058290162
161,0.021368335911320778,0.015523322127927596
162,0.08158835817560348,0.021073416019122285
163,0.056434641927030835,0.01579760226258399
164,0.08791468295134505,0.016338625072074415
165,0.019636560042497923,0.006249533892335747
166,0.050346757553028976,0.015696945339283674
167,0.03507950746658756,0.011056686569766064
168,0.06747414461756064,0.018209868258872407
169,0.0653160134834384,0.01882328503865235
170,0.08305657734414518,0.0052726534122228205
171,0.08155662235707277,0.008958038431729915
172,0.06581498817684857,0.009510249516180708
173,0.08997821962789114,0.019056329257308637
174,0.04741624842827115,0.015395772709704495
175,0.08293595174537251,0.01511812377083796
176,0.033072961164055815,0.0144582413576954
177,0.06842727445856465,0.008937553297228836
178,0.03635906352594476,0.017672232576055148
179,0.03973924111585543,0.021235943097989853
180,0.06290119674065225,0.010070743415847579
181,0.035338072181729546,0.014501204105408684
182,0.07772553898318897,0.005550198729041421
183,0.0831362565718842,0.0055409613176236935
184,0.07123289941125474,0.009176932373878424
185,0.06943725323894567,0.016521610458102333
186,0.02681718880140431,0.020925035763796417
187,0.03813874069155955,0.0189683968455188
188,0.06396653507396488,0.01647261385674565
189,0.04850363648495146,0.011215529652443034
190,0.07248746403379533,0.012459148455636788
191,0.0332247649120016,0.012652940278102489
192,0.07100910548771994,0.01595508647844467
193,0.020368095401388422,0.00959194549060648
194,0.02329703649194116,0.015420106798764183
195,0.08778576673312564,0.020742164443419614
196,0.055341424023515516,0.015595448853963016
197,0.04210322979880333,0.01751999675938931
198,0.06832773836364323,0.011213948783604016
199,0.027878886310106665,0.00469790096635482
200,0.026493039979741402,0.019949243165104595
201,0.027091892507498105,0.02046358813799435
202,0.07975481657994679,0.01176492991332393
203,0.03335517185684889,0.009131467582416978
204,0.05339606039855286,0.019279217584244383
205,0.07477143075832376,0.0164599788079645
206,0.08932607868110894,0.00581155819268728
207,0.0693994689991468,0.004789073580354083
208,0.04752239558703515,0.004456606803967461
209,0.054089111032250024,0.020483712114732253
210,0.0422831020519886,0.016368184502403592
211,0.05838854607362249,0.015879245441302495
212,0.08754211521564195,0.007193398239168399
213,0.03929992465714539,0.017469834817939296
214,0.06983529986658935,0.00831641482077616
215,0.06692956370716346,0.01633115231960721
216,0.06856928789561495,0.005470565220965701
217,0.04151912680365938,0.018833944191031772
218,0.06639785326894249,0.014239843839296162
219,0.06713465936401539,0.012028115647839375
220,0.05326873707991571,0.015891156204183358
221,0.056061561976238745,0.011867147379680455
222,0.0799435062690584,0.018633260253793367
223,0.057106117205175666,0.014545537600476052
224,0.08890398097438036,0.017169674465815625
225,0.051585655960833185,0.008511043759142679
226,0.060358763673193296,0.008581071850255736
227,0.0687558680257882,0.004519036910847802
228,0.03846785518350645,0.007935809321963588
229,0.06445136560916648,0.006280965035763696
230,0.06414036032712601,0.02089394336272462
231,0.0835090977955356,0.021024413016363097
232,0.0372677201600824,0.013871608643109282
233,0.020938741584208675,0.013284522662633021
234,0.037520790563037795,0.007171623162077358
235,0.06952594573958043,0.02007350154191217
236,0.06707206188090434,0.00490033066612213
237,0.022409509403033614,0.007612415086924614
238,0.02907526836075828,0.005451385380929674
239,0.027681549699284373,0.01955393150245304
240,0.0309384341449688,0.0047125004791422065
241,0.08425671203305736,0.01702896808036243
242,0.06578841883113905,0.011122905665364712
243,0.04483550228257292,0.019727431170675963
